original,value,matched_term,category,score,log
MS ACTIVOS CORRIENTES Efectivo y equivalentes al efectivo,564926038,efectivo y equivalentes,"['Balance general', None, None]",0.7923860549926758,RAG
MS ACTIVOS CORRIENTES Efectivo y equivalentes al efectivo,483125584,efectivo y equivalentes,"['Balance general', None, None]",0.7923860549926758,RAG
Otros activos financieros corrientes,178080985,pasivo financiero,"['Balance general', None, None]",0.8278795480728149,RAG
Otros activos financieros corrientes,211081454,pasivo financiero,"['Balance general', None, None]",0.8278795480728149,RAG
Otros activos no financieros corrientes,55737862,pasivo financiero,"['Balance general', None, None]",0.7926019430160522,RAG
Otros activos no financieros corrientes,32698910,pasivo financiero,"['Balance general', None, None]",0.7926019430160522,RAG
Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,875461204,,,1.0,"{'fuzzy': {'term': 'resultado del ejercicio', 'score': 30.76923076923077}, 'embedding': {'term': 'total pasivos y patrimonio', 'score': 0.4236766760386211}}"
Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes,701683203,,,1.0,"{'fuzzy': {'term': 'resultado del ejercicio', 'score': 30.76923076923077}, 'embedding': {'term': 'total pasivos y patrimonio', 'score': 0.4236766760386211}}"
corrientes,13005665,activos corrientes,"['Balance general', None, None]",0.7503213882446289,RAG
corrientes,12629727,activos corrientes,"['Balance general', None, None]",0.7503213882446289,RAG
Inventarios corrientes,1636858939,activos corrientes,"['Balance general', None, None]",0.7594842314720154,RAG
Inventarios corrientes,1411220909,activos corrientes,"['Balance general', None, None]",0.7594842314720154,RAG
corrientes,142342721,activos corrientes,"['Balance general', None, None]",0.7503213882446289,RAG
corrientes,123837437,activos corrientes,"['Balance general', None, None]",0.7503213882446289,RAG
ACTIVOS NO CORRIENTES Otros activos financieros no corrientes,245791550,otros activos no corrientes,"['Balance general', None, None]",0.776115894317627,RAG
ACTIVOS NO CORRIENTES Otros activos financieros no corrientes,230585174,otros activos no corrientes,"['Balance general', None, None]",0.776115894317627,RAG
