('MS ACTIVOS CORRIENTES Efectivo y equivalentes al efectivo', '5', '564.926.038', '483.125.584')
('Otros activos financieros corrientes', '6', '178.080.985', '211.081.454')
('Otros activos no financieros corrientes', '22', '55.737.862', '32.698.910')
('Cuentas comerciales por cobrar y otras cuentas por cobrar corrientes', '8', '875.461.204', '701.683.203')
('corrientes', '9', '13.005.665', '12.629.727')
('Inventarios corrientes', '10', '1.636.858.939', '1.411.220.909')
('corrientes', '16', '142.342.721', '123.837.437')
('ACTIVOS NO CORRIENTES Otros activos financieros no corrientes', '6', '245.791.550', '230.585.174')
('Otros activos no financieros no corrientes', '22', '29.455.501', '26.479.028')
('Cuentas comerciales por cobrar y otras cuentas por cobrar no corrientes', '8', '138.313', '156.599')
('Inversiones contabilizadas utilizando el método de la participación', '11', '331.502.901', '334.657.003')
('Activos intangibles distintos de la plusvalía', '12', '862.236.570', '774.003.943')
('Plusvalía', '13', '2.059.796.230', '1.873.590.001')
('planta y equipo', '14', '4.110.735.696', '3.743.122.719')
('Propiedad de inversión', '15', '3.392.498.650', '3.188.927.576')
('no corrientes', '16', '73.617.653', '68.772.782')
('Activos por impuestos diferidos', '16', '369.637.458', '356.550.480')
('MS PASIVOS CORRIENTES Otros pasivos financieros corrientes', '17', '825.786.472', '505.461.062')
('corrientes', '30', '194.585.896', '180.834.620')
('Cuentas por pagar comerciales y otras cuentas por pagar', '18', '2.866.975.457', '2.653.580.482')
('corrientes', '9', '17.640.430', '16.516.672')
('Otras provisiones corrientes', '19', '18.287.874', '16.826.672')
('corrientes', '16', '53.512.442', '48.325.022')
('Provisiones corrientes por beneficios a los empleados', '21', '130.178.251', '136.878.132')
('Otros pasivos no financieros corrientes', '20', '248.986.568', '240.505.744')
('PASIVOS NO CORRIENTES Otros pasivos financieros no corrientes', '17', '3.750.953.599', '3.704.831.700')
('Pasivos por arrendamientos no corrientes', '30', '1.081.584.792', '1.098.575.638')
('Cuentas comerciales por pagar y otras cuentas por pagar no corrientes', '18', '3.536.289', '3.401.565')
('Otras provisiones no corrientes', '19', '51.728.175', '48.070.186')
('Pasivo por impuestos diferidos', '16', '625.638.770', '558.350.832')
('Provisiones no corrientes por beneficios a los empleados', '21', '5.435.730', '3.263.065')
('no corrientes', '16', '22.341.716', '4.046.018')
('Otros pasivos no financieros no corrientes', '20', '83.571.304', '76.027.357')
('PATRIMONIO Capital emitido', '23', '2.380.288.909', '2.380.288.909')
('acumuladas', '23', '2.056.311.617', '2.078.932.098')
('Prima de emisión', '23', '459.360.260', '459.360.260')
('Participaciones no controladoras', '23', '633.715.769', '607.015.945')
('MS MS Ingresos de actividades ordinarias', '24', '3.938.069.983', '3.503.183.757')
('Otros ingresos', '25', '23.049.427', '8.518.912')
('Ingresos financieros', '25', '6.218.413', '4.602.195')
('atribuible a participaciones no controladoras', '23', '22.019.318', '15.513.358')
('Efectivo y equivalentes al efectivo al principio del período', '5', '483.125.584', '373.700.303')
('Efectivo y equivalentes al efectivo al final del período', '5', '564.926.038', '378.697.266')
